"Datum,""Asset No."",""Username"",""Löschstatus"",""Berichts ID"",""Mobile IMEI"",""Firmenname"",""Logistic Date"",""Wirtschaftsstandort"",""Löschstandardname"",""System Hersteller"",""System Modell"",""System Seriennummer"",""Festplattenseriennummer"",""CPU Modell"",""Nominale CPU Frequenz"",""Kapazität des Speichers"",""Festplattenkapazität"",""Optisches Laufwerk Typ"",""System Gehäusetyp"",""Remappte Sektoren nach der Löschung des Löschziels"",""Remappte Sektoren der Platte"""
"2024-01-30 11:07:21,,,""Successful"",""67660"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG84810SV"",""S425NX0K953506"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""16 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-30 11:07:20,,,""Successful"",""67659"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG915510V"",""S425NX1M325408"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB/8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-30 11:05:46,,,""Successful"",""67658"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG9160ZW7"",""191058801710"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-30 11:05:34,,,""Successful"",""67657"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG9154ZW2"",""S425NX1M325367"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-30 11:04:08,,,""Successful"",""67656"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG90724JD"",""NN8CN732610801428"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-30 11:04:08,,,""Successful"",""67655"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG9093T2Y"",""S425NX1M133990"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-30 11:02:16,,,""Successful"",""67654"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG84422WC"",""S425NE0K958779"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB/8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-30 11:02:10,,,""Successful"",""67653"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG84810R8"",""S425NX0K953677"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-30 10:58:17,,,""Successful"",""67652"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG9093T79"",""S425NX1M133978"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-30 10:58:12,,,""Successful"",""67651"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG91609L9"",""191092804724"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-30 10:52:16,,,""Successful"",""67650"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG9093T7N"",""S425NX1M134056"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB/8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-30 10:52:15,,,""Successful"",""67649"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG9090J7F"",""S425NA0M154377"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-30 10:50:56,,,""Successful"",""67648"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG8480ZRK"",""S425NX0K943938"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-30 10:45:17,,,""Successful"",""67647"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG915505C"",""S425NX1M325317"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-30 10:43:48,,,""Successful"",""67646"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG8481191"",""S425NX0K954487"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-30 10:26:21,,,""Successful"",""67645"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG8481118"",""S425NX0K954566"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-30 10:26:20,,,""Successful"",""67644"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG848115V"",""S425NX0K953315"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-30 10:24:02,,,""Successful"",""67643"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG83885KW"",""S425NE0K825223"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-30 10:24:01,,,""Successful"",""67642"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG8507MVG"",""S425NX0K956770"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB/8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-30 10:20:51,,,""Successful"",""67641"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 850 G5"",""5CG84828ZF"",""ND8AN48661210AF50"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-29 17:20:57,,,""Successful"",""67640"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 850 G5"",""5CG84822XC"",""NN89N64951260AF14"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-29 17:11:58,,,""Successful"",""67639"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG82135NP"",""484B51YCK5WS"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-29 17:09:32,,,""Successful"",""67638"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG844242W"",""S425NE0K958958"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-29 15:06:21,,,""Successful"",""67637"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG84810KQ"",""S425NX0K943744"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-29 15:06:20,,,""Successful"",""67636"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG9090KDN"",""S425NA0M174841"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-29 15:04:54,,,""Successful"",""67635"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG8480ZTZ"",""S425NX0K943921"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-29 15:04:52,,,""Successful"",""67634"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG8481121"",""S425NX0K954595"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-29 15:03:01,,,""Successful"",""67633"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG9090KHH"",""S425NA0M174868"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-29 15:03:00,,,""Successful"",""67632"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG844231Q"",""S425NE0K958767"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-29 15:00:31,,,""Successful"",""67631"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG9154ZY8"",""S425NX1M325366"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-29 14:58:33,,,""Successful"",""67630"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG83885QJ"",""S425NE0K825213"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-29 14:58:32,,,""Successful"",""67629"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG844243F"",""S425NE0K958814"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-29 14:56:35,,,""Successful"",""67628"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG8442459"",""S425NE0K958740"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-29 14:56:34,,,""Successful"",""67627"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG9154ZST"",""S425NX1M325385"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-29 14:54:57,,,""Successful"",""67626"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG84810T2"",""S425NX0K953388"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-29 14:54:55,,,""Successful"",""67625"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG84811HT"",""S425NX0K954360"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-29 14:52:47,,,""Successful"",""67624"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG84422JX"",""S425NE0K958665"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-29 14:52:46,,,""Successful"",""67623"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG83885HT"",""S425NE0K825181"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-29 14:48:50,,,""Successful"",""67622"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG84810QV"",""S425NX0K953433"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB/8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-29 14:46:41,,,""Successful"",""67621"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG82135YN"",""484B5324K5WS"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB/8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-29 13:13:54,,,""Successful"",""67620"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG9093TCK"",""S425NX1M134140"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB/8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-29 11:55:38,,,""Successful"",""67619"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG9090L8S"",""S425NA0M182157"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-29 11:55:24,,,""Successful"",""67618"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG844235V"",""S425NE0K958895"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB/8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-17 15:39:14,,,""Successful"",""67500"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 850 G5"",""5CG9072JL2"",""Z8IA83CHK5YS"",""Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz"",""1900 MHz"",""16 GiB"",""512 GB"",,""Notebook"",,"
"2024-01-17 15:34:27,,,""Successful"",""67499"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 850 G5"",""5CG8455XKM"",""S3WTNA0K921048"",""Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz"",""1900 MHz"",""16 GiB/16 GiB"",""512 GB"",,""Notebook"",,"
"2024-01-17 15:31:14,,,""Successful"",""67498"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 850 G5"",""5CG9127CT8"",""MJ92N00241140230L"",""Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz"",""1900 MHz"",""16 GiB"",""512 GB"",,""Notebook"",,"
"2024-01-17 15:24:16,,,""Successful"",""67497"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 850 G5"",""5CG9156KC1"",""S3WTNX1M218951"",""Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz"",""1900 MHz"",""16 GiB"",""512 GB"",,""Notebook"",,"
